nm, %T
2500.000000, 86.389727
2495.000000, 86.606525
2490.000000, 86.642916
2485.000000, 86.701232
2480.000000, 86.765510
2475.000000, 86.702990
2470.000000, 86.705218
2465.000000, 86.787681
2460.000000, 86.800837
2455.000000, 86.852533
2450.000000, 86.831030
2445.000000, 86.881368
2440.000000, 86.963197
2435.000000, 86.917876
2430.000000, 87.014612
2425.000000, 87.056659
2420.000000, 87.078522
2415.000000, 87.102409
2410.000000, 87.131850
2405.000000, 87.150889
2400.000000, 87.204611
2395.000000, 87.297145
2390.000000, 87.325034
2385.000000, 87.379198
2380.000000, 87.416832
2375.000000, 87.469885
2370.000000, 87.502650
2365.000000, 87.528328
2360.000000, 87.553536
2355.000000, 87.565696
2350.000000, 87.564343
2345.000000, 87.603296
2340.000000, 87.615048
2335.000000, 87.600240
2330.000000, 87.617522
2325.000000, 87.619555
2320.000000, 87.602662
2315.000000, 87.608090
2310.000000, 87.584184
2305.000000, 87.585324
2300.000000, 87.576975
2295.000000, 87.570281
2290.000000, 87.547295
2285.000000, 87.522910
2280.000000, 87.496561
2275.000000, 87.476225
2270.000000, 87.447405
2265.000000, 87.418579
2260.000000, 87.380257
2255.000000, 87.345876
2250.000000, 87.326486
2245.000000, 87.292207
2240.000000, 87.243082
2235.000000, 87.186728
2230.000000, 87.148415
2225.000000, 87.117878
2220.000000, 87.087652
2215.000000, 87.064630
2210.000000, 87.064897
2205.000000, 87.074256
2200.000000, 87.105675
2195.000000, 87.137380
2190.000000, 87.165541
2185.000000, 87.190037
2180.000000, 87.224486
2175.000000, 87.260485
2170.000000, 87.289972
2165.000000, 87.321133
2160.000000, 87.348696
2155.000000, 87.376176
2150.000000, 87.396371
2145.000000, 87.429994
2140.000000, 87.448805
2135.000000, 87.470878
2130.000000, 87.488262
2125.000000, 87.504134
2120.000000, 87.514608
2115.000000, 87.526049
2110.000000, 87.537026
2105.000000, 87.528878
2100.000000, 87.522302
2095.000000, 87.520499
2090.000000, 87.512476
2085.000000, 87.505012
2080.000000, 87.493943
2075.000000, 87.488133
2070.000000, 87.471100
2065.000000, 87.457263
2060.000000, 87.436071
2055.000000, 87.413776
2050.000000, 87.393316
2045.000000, 87.365591
2040.000000, 87.351604
2035.000000, 87.330037
2030.000000, 87.302711
2025.000000, 87.286797
2020.000000, 87.272105
2015.000000, 87.256599
2010.000000, 87.237741
2005.000000, 87.216611
2000.000000, 87.181310
1995.000000, 87.157407
1990.000000, 87.144183
1985.000000, 87.124276
1980.000000, 87.105179
1975.000000, 87.088608
1970.000000, 87.085714
1965.000000, 87.074969
1960.000000, 87.049146
1955.000000, 87.026114
1950.000000, 87.022593
1945.000000, 87.024390
1940.000000, 87.008884
1935.000000, 86.984585
1930.000000, 86.982287
1925.000000, 86.977511
1920.000000, 86.945026
1915.000000, 86.973455
1910.000000, 87.010501
1905.000000, 86.919683
1900.000000, 86.823034
1895.000000, 86.806197
1890.000000, 86.781430
1885.000000, 86.752349
1880.000000, 86.726003
1875.000000, 86.629763
1870.000000, 86.503050
1865.000000, 86.472908
1860.000000, 86.508330
1855.000000, 86.526567
1850.000000, 86.503494
1845.000000, 86.477159
1840.000000, 86.437502
1835.000000, 86.391205
1830.000000, 86.368519
1825.000000, 86.339266
1820.000000, 86.318751
1815.000000, 86.338519
1810.000000, 86.376532
1805.000000, 86.375491
1800.000000, 86.342328
1795.000000, 86.321100
1790.000000, 86.280105
1785.000000, 86.246883
1780.000000, 86.223030
1775.000000, 86.199118
1770.000000, 86.175739
1765.000000, 86.150592
1760.000000, 86.126740
1755.000000, 86.101877
1750.000000, 86.072584
1745.000000, 86.050618
1740.000000, 86.022109
1735.000000, 85.996092
1730.000000, 85.971701
1725.000000, 85.936505
1720.000000, 85.903198
1715.000000, 85.880828
1710.000000, 85.858307
1705.000000, 85.830143
1700.000000, 85.793722
1695.000000, 85.765488
1690.000000, 85.744823
1685.000000, 85.722105
1680.000000, 85.683905
1675.000000, 85.653939
1670.000000, 85.628899
1665.000000, 85.599028
1660.000000, 85.575431
1655.000000, 85.547349
1650.000000, 85.521875
1645.000000, 85.492252
1640.000000, 85.456093
1635.000000, 85.420551
1630.000000, 85.389002
1625.000000, 85.360858
1620.000000, 85.333744
1615.000000, 85.302326
1610.000000, 85.270696
1605.000000, 85.224850
1600.000000, 85.180924
1595.000000, 85.151528
1590.000000, 85.134315
1585.000000, 85.106398
1580.000000, 85.058066
1575.000000, 85.037259
1570.000000, 85.003376
1565.000000, 84.954777
1560.000000, 84.935832
1555.000000, 84.895372
1550.000000, 84.854175
1545.000000, 84.819732
1540.000000, 84.789973
1535.000000, 84.749034
1530.000000, 84.723455
1525.000000, 84.677911
1520.000000, 84.646687
1515.000000, 84.613432
1510.000000, 84.562376
1505.000000, 84.528456
1500.000000, 84.495803
1495.000000, 84.460617
1490.000000, 84.416606
1485.000000, 84.361975
1480.000000, 84.316840
1475.000000, 84.276729
1470.000000, 84.237891
1465.000000, 84.214672
1460.000000, 84.161092
1455.000000, 84.108036
1450.000000, 84.038560
1445.000000, 83.989658
1440.000000, 83.949525
1435.000000, 83.860269
1430.000000, 83.823728
1425.000000, 83.752101
1420.000000, 83.708606
1415.000000, 83.663587
1410.000000, 83.625994
1405.000000, 83.532446
1400.000000, 83.538432
1395.000000, 83.525556
1390.000000, 83.488369
1385.000000, 83.482705
1380.000000, 83.532698
1375.000000, 83.536517
1370.000000, 83.423012
1365.000000, 83.442054
1360.000000, 83.441472
1355.000000, 83.392649
1350.000000, 83.336069
1345.000000, 83.283031
1340.000000, 83.242322
1335.000000, 83.201030
1330.000000, 83.162539
1325.000000, 83.117056
1320.000000, 83.071462
1315.000000, 83.038073
1310.000000, 82.993894
1305.000000, 82.948990
1300.000000, 82.900857
1295.000000, 82.849470
1290.000000, 82.808459
1285.000000, 82.767918
1280.000000, 82.724465
1275.000000, 82.671557
1270.000000, 82.632752
1265.000000, 82.573922
1260.000000, 82.534365
1255.000000, 82.491057
1250.000000, 82.454386
1245.000000, 82.397484
1240.000000, 82.353738
1235.000000, 82.301202
1230.000000, 82.263021
1225.000000, 82.210813
1220.000000, 82.168784
1215.000000, 82.129857
1210.000000, 82.078558
1205.000000, 82.037869
1200.000000, 81.987076
1195.000000, 81.942821
1190.000000, 81.892577
1185.000000, 81.849485
1180.000000, 81.803008
1175.000000, 81.757273
1170.000000, 81.708202
1165.000000, 81.663467
1160.000000, 81.625046
1155.000000, 81.568870
1150.000000, 81.518944
1145.000000, 81.489340
1140.000000, 81.429734
1135.000000, 81.397017
1130.000000, 81.333622
1125.000000, 81.289500
1120.000000, 81.251837
1115.000000, 81.218271
1110.000000, 81.168061
1105.000000, 81.121153
1100.000000, 81.091861
1095.000000, 81.035846
1090.000000, 80.998052
1085.000000, 80.954422
1080.000000, 80.912856
1075.000000, 80.870108
1070.000000, 80.832330
1065.000000, 80.787571
1060.000000, 80.742436
1055.000000, 80.715187
1050.000000, 80.666996
1045.000000, 80.638161
1040.000000, 80.601785
1035.000000, 80.562629
1030.000000, 80.521431
1025.000000, 80.475855
1020.000000, 80.452213
1015.000000, 80.404681
1010.000000, 80.378391
1005.000000, 80.340027
1000.000000, 80.308780
995.000000, 80.276824
990.000000, 80.247213
985.000000, 80.222887
980.000000, 80.183679
975.000000, 80.151038
970.000000, 80.128714
965.000000, 80.103502
960.000000, 80.079469
955.000000, 80.069482
950.000000, 80.036000
945.000000, 80.014148
940.000000, 80.002344
935.000000, 79.979757
930.000000, 79.971123
925.000000, 79.954627
920.000000, 79.939962
915.000000, 79.937749
910.000000, 79.922741
905.000000, 79.919306
900.000000, 79.915249
895.000000, 79.921545
890.000000, 79.915698
885.000000, 79.924839
880.000000, 79.939833
875.000000, 79.964266
870.000000, 79.975553
865.000000, 80.015220
860.000000, 80.011122
855.000000, 79.964558
850.000000, 80.220127
845.000000, 80.254117
840.000000, 80.297983
835.000000, 80.325518
830.000000, 80.480022
825.000000, 80.530077
820.000000, 80.549871
815.000000, 80.560748
810.000000, 80.519256
805.000000, 80.356792
800.000000, 80.120970
795.000000, 79.631417
790.000000, 78.715710
785.000000, 77.148667
780.000000, 74.656146
775.000000, 71.099781
770.000000, 66.264660
765.000000, 60.568414
760.000000, 54.514701
755.000000, 48.439118
750.000000, 42.870689
745.000000, 37.995040
740.000000, 33.707267
735.000000, 29.877443
730.000000, 26.322349
725.000000, 23.225369
720.000000, 20.570631
715.000000, 18.604230
710.000000, 17.356809
705.000000, 16.856712
700.000000, 17.043190
695.000000, 17.777269
690.000000, 18.817700
685.000000, 19.858268
680.000000, 20.592702
675.000000, 20.728987
670.000000, 20.149448
665.000000, 18.869878
660.000000, 17.078009
655.000000, 15.084437
650.000000, 13.258273
645.000000, 11.819371
640.000000, 10.898321
635.000000, 10.495234
630.000000, 10.545828
625.000000, 10.961575
620.000000, 11.628309
615.000000, 12.411095
610.000000, 13.195789
605.000000, 13.883113
600.000000, 14.436410
595.000000, 14.887319
590.000000, 15.357380
585.000000, 15.939379
580.000000, 16.726160
575.000000, 17.772687
570.000000, 19.060922
565.000000, 20.572800
560.000000, 22.270197
555.000000, 24.086596
550.000000, 25.962418
545.000000, 27.844807
540.000000, 29.728979
535.000000, 31.619919
530.000000, 33.501690
525.000000, 35.336746
520.000000, 37.107855
515.000000, 38.730768
510.000000, 40.205398
505.000000, 41.504827
500.000000, 42.676934
495.000000, 43.784272
490.000000, 44.800695
485.000000, 45.708460
480.000000, 46.457338
475.000000, 46.937483
470.000000, 47.277992
465.000000, 47.492875
460.000000, 47.594959
455.000000, 47.633057
450.000000, 47.590377
445.000000, 47.440015
440.000000, 47.139449
435.000000, 46.622313
430.000000, 45.986674
425.000000, 45.288679
420.000000, 44.667427
415.000000, 44.163052
410.000000, 43.768328
405.000000, 43.363602
400.000000, 42.796403
395.000000, 42.025148
390.000000, 41.109726
385.000000, 40.073994
380.000000, 38.922929
375.000000, 37.595277
370.000000, 36.223626
365.000000, 34.920853
360.000000, 33.609270
355.000000, 32.258276
350.000000, 30.855166
345.000000, 29.588021
340.000000, 28.857828
335.000000, 28.647806
330.000000, 28.598245
325.000000, 28.372878
320.000000, 27.837408
315.000000, 26.833535
310.000000, 25.597984
305.000000, 24.248849
300.000000, 22.642681
295.000000, 20.687939
290.000000, 18.410659
285.000000, 15.940905
280.000000, 13.543724
275.000000, 11.540469
270.000000, 10.002471
265.000000, 8.790778
260.000000, 7.644097
255.000000, 6.433274
250.000000, 5.453090
