nm, %T
385.000000, 51.542518
380.000000, 50.669993
375.000000, 49.516335
370.000000, 48.247323
365.000000, 47.268468
360.000000, 46.593709
355.000000, 46.196782
350.000000, 45.699267
345.000000, 44.885380
340.000000, 43.870120
335.000000, 43.003433
330.000000, 42.027409
325.000000, 40.914641
320.000000, 38.865075
315.000000, 36.941448
310.000000, 34.953653
305.000000, 32.611561
300.000000, 30.044573
